episode_number,pitch_number,brand_name,idea,Category,Male_rating,Female_rating,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
1,1,BluePine Industries,Frozen Momos,4,2.9375,2.9375,1,50,5,1000,75,16,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25,5.333333333
1,2,Booz scooters,Renting e-bike for mobility in private spaces,2,3.71875,3.4375,1,40,15,266.67,40,50,80,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20,25
1,3,Heart up my Sleeves,Detachable Sleeves,8,3.03125,2.9375,1,25,10,250,25,30,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15
2,4,Tagz Foods,Healthy Potato Chips,4,3.40625,3.3125,1,70,1,7000,70,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70,2.75
2,5,Head and Heart,Brain Development Course,3,3.65625,3.34375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,6,Agro tourism,Tourism,2,3.59375,3.59375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,Qzense Labs,Food Freshness Detector,4,3.71875,3.5,0,100,0.25,40000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,8,Peeschute,Disposable Urine Bag,9,3.75,3.25,1,75,4,1875,75,6,1250,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,6
3,9,NOCD,Energy Drink,4,3.5625,3.53125,1,50,2,2500,20,15,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20,15
4,10,Cosiq,Intelligent Skincare,8,3.28125,3.40625,1,50,7.5,666.67,50,25,200,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25,12.5
4,11,JhaJi Achaar,Pickle,4,3.40625,3.1875,0,50,10,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,12,Bummer,Underwear,8,3.15625,3.21875,1,75,4,1875,75,7.5,1000,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75
5,13,Revamp Moto,E-Bike,10,3.84375,3.6875,1,100,1,10000,100,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50,0.75
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,6,2.21875,2.375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,15,Shrawani Engineers,Belly Button Shaper,0,1,1,0,10,20,50,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,16,Skippi Pops,Ice-Pops,4,2.84375,3.3125,1,45,5,900,100,15,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20,3
6,17,Menstrupedia,Menstrual Awareness Comic,9,4.03125,3.75,1,50,10,500,50,20,250,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50,20
6,18,Hecolll,Pollution Resistant Fabric,8,3.75,3.78125,0,100,1,10000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,19,Raising Superstars,Child Development App,3,3.53125,3.5,0,100,2,5000,100,4,2500,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50,2
7,20,Torch-it,Gadgets for visually impaired people,9,4.34375,4,1,75,1,7500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,21,La Kheer Deli,Kheer in variety of flavors,4,3.125,3.125,0,50,7.5,666.67,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,22,Beyond Snack,Kerala Banana Chips,4,3.8125,3.78125,1,50,2.5,2000,50,2.5,2000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,25,1.25
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,9,3.90625,3.96875,1,56,7.5,746.67,56,33.3,168.17,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,28,16.65
8,24,Motion Breeze,Smart Electric Motorcycle,10,4.125,3.9375,1,30,3,1000,30,6,500,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,30,6
9,25,Altor,Smart Helmets,10,3.78125,3.9375,1,50,5,1000,50,7,714.29,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,25,3.5
9,26,Ariro,Wooden Toys,5,,,1,50,2.5,2000,50,10,500,1,1,1,1,0,1,0,0,0,1,0,0,1,0,2,25,5
9,27,Kabira Handmade,Healthy Oils,4,3.5,3.65625,0,100,5,2000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,28,Nuutjob,Male Intimate Hygiene,9,3.875,3.59375,1,25,5,500,25,20,125,1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,8.333333333,6.666666667
10,29,Meatyour,Eggs,4,2.96875,3.46875,1,30,5,600,30,20,150,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,10,6.666666667
10,30,EventBeep,Student Community App,3,3.71875,3.65625,1,30,2,1500,30,3,1000,1,1,1,1,0,1,0,1,0,1,0,0,1,0,3,10,1
11,31,Gopal's 56,Fiber Ice Cream,4,2.6875,3.28125,0,30000,25,120000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,32,ARRCOAT Surface Textures,Wall Building,2,3.78125,3.15625,1,50,5,1000,50,15,333.33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,50,15
11,33,Farda,Customised Streetwear,8,3.34375,3.28125,1,30,10,300,30,20,150,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,15,10
12,34,Auli Lifestyle,Ayurvedic Products,8,3.21875,3.84375,1,75,4,1875,75,15,500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,75,15
12,35,SweeDesi,Indian Sweets,4,3.5625,3.78125,0,40,3,1333.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,36,LOKA,Metaverse App,2,3.6875,3.5,1,40,5,800,40,24,166.67,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,13.33333333,8
13,37,Annie,Braille Literary Device,5,3.75,3.46875,1,30,5,600,105,3,3500,1,1,1,1,0,1,0,0,1,0,1,0,1,0,3,35,1
13,38,Caragreen,Eco-Friendly boxes,5,4.1875,3.75,1,50,10,500,50,20,250,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,25,10
13,39,The Yarn Bazaar,Yarn-Trading App,6,2.75,2.90625,1,50,2,2500,100,10,1000,1,1,1,1,0,1,0,1,1,1,0,0,1,0,4,25,2.5
14,40,The Renal Project,Home Dialysis Treatment,9,4.03125,3.8125,1,100,3,3333.33,100,6,1666.67,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,50,3
14,41,Morikko Pure Foods,Healthy Food Snacks,4,3.59375,3.46875,0,100,3,3333.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,42,Good Good Piggy Bank,Digital Piggy Bank,3,3.78125,3.28125,0,45,5,900,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,43,Hammer Lifestyle,Smart Audio Products,7,3.875,3.375,1,30,3,1000,100,40,250,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,100,40
15,44,PNT,Robotics and Automation Solutions,7,3.875,3.71875,1,50,4,1250,25,25,100,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,25,25
15,45,Cocofit,Coconut based beverage franchise,6,2.90625,3.40625,1,5,5,100,0.00005,5,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,3,1.67E-05,1.666666667
16,46,Bamboo India,Bamboo Products,1,3.46875,3.5,1,80,4,2000,50,3.5,1428.57,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,25,1.75
16,47,Flying Furr,Dog Hygiene,2,3.59375,3.1875,0,75,7,1071.43,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,48,Beyond Water,Liquid Water Enhancer,4,2.75,3,1,75,4,1875,75,15,500,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,37.5,7.5
16,49,Let's Try,Healthy Snacks,4,3.625,3.625,1,45,2,2250,45,12,375,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2,22.5,6
17,50,Find Your Kicks India,Sneaker Resale,8,3.3125,3.375,1,50,10,500,50,25,200,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,10,5
17,51,Aas Vidyalaya,EdTech App,3,3.59375,3.46875,1,150,3,5000,150,15,1000,1,1,1,1,0,1,0,1,0,0,1,0,1,0,3,50,5
17,52,Outbox,Premium Surprise-Planning,2,3.46875,3.0625,0,50,5,1000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,53,RoadBounce,Pothole Detection Software and Data,7,3.71875,3.5,1,80,10,800,80,20,400,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,80,20
18,54,Mommy's Kitchen,Thin Crust Pizza,4,3.15625,3.34375,0,90,3,3000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,55,India Hemp and Co,Hemp Food Products,4,2.90625,3.09375,0,50,4,1250,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,56,Otua,Electric Auto Vehicle,10,3.625,3.46875,1,100,1,10000,1,1,100,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
18,57,Anthyesti,Funeral Service,2,3.34375,2.84375,0,50,2.5,2000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,58,Ethik,Leather-free Shoes,8,3.5625,3.59375,0,15,5,300,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,59,WeSTOCK,Livestock health monitoring AI,9,3.9375,3.9375,1,50,5,1000,60,10,600,1,1,1,1,0,1,0,1,0,1,1,0,1,0,4,15,2.5
19,60,KetoIndia,Customised Keto Diets for various medical issues,4,3.25,3.03125,0,125,1.25,10000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,61,Magic lock,LPG Cylinder lock,5,3.71875,3.46875,0,120,8,1500,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,62,The State Plate,Delicacies,4,3.34375,3.53125,1,65,2,3250,40,3,1333.33,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,40,3
20,63,Bakarmax,Comics & Animation,5,3.78125,3.375,0,35,5,700,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,64,IN A CAN,Can Cocktails,4,3.15625,3.375,1,50,2,2500,100,10,1000,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,20,2
21,65,Get a Whey,Sugar-Free Icecream,4,3.65625,3.625,1,100,8,1250,100,15,666.67,1,1,1,0,1,1,0,1,0,1,0,1,0,0,3,33.33333333,5
21,66,Sid07 Designs,Inventions,7,3.935483871,3.71875,1,47,10,470,25,75,33.33,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,25,75
21,67,The Quirky Nari,Customised Apparels,8,3.15625,3.5,1,35,5,700,35,24,145.83,1,1,1,0,1,1,0,0,1,0,0,1,0,0,2,17.5,12
22,68,Hair Originals,Natural Hair Extensions,8,2.9375,3.25,1,60,2,3000,60,4,1500,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,20,1.333333333
22,69,Poo de Cologne,Toilet Spray with Essential Oils,5,3.40625,3.34375,0,75,5,1500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,70,Moonshine Meads,Meads,4,3.03125,3.3125,0,80,5,1600,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,71,Falhari,Fresh Fruits,4,3.625,3.6875,0,50,2,2500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,72,Namhya Foods,Ayurvedic Enriched Food,4,3.25,3.625,1,100,5,2000,50,10,500,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,50,10
23,73,Urban Monkey,Streetwear,8,3.0625,3.0625,0,100,1,10000,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,74,Guardian Gears,Motorcycle Luggage,1,3.4375,3.28125,0,30,5,600,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,75,Modern Myth,Bags,1,3.1875,3.125,0,75,5,1500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,76,The Sass Bar,Gifts,6,2.71875,2.96875,1,40,8,500,50,35,142.86,0,1,0,1,1,1,1,0,1,0,0,0,0,1,2,25,17.5
24,77,KG Agrotech,Agricultural Innovations,7,3.5625,3.75,1,30,10,300,10,40,25,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,10,40
24,78,Nuskha Kitchen,Homemade Foods,4,3.65625,4.0625,0,20,10,200,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25,79,PawsIndia,Dog Products,1,3.53125,3.3125,1,50,4,1250,50,15,333.33,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,50,15
25,80,Sunfox Technologies,Portable ECG Device,9,4.0625,3.875,1,100,2,5000,100,6,1666.67,0,1,0,1,1,1,1,0,1,0,1,1,1,1,5,20,1.2
25,81,Alpino,Roasted Peanut Products,4,3.28125,3.40625,0,150,2,7500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,82,Isak Fragrances,Perfumes,8,3.28125,3.28125,1,50,8,625,50,50,100,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,50,50
26,83,Julaa Automation,Automatic Cradle,7,3.75,3.032258065,0,50,10,500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,84,Rare Planet,Handicrafts,1,3.34375,3.5,1,65,1,6500,65,3,2166.67,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,65,3
27,85,Theka Coffee,Coffee Products,4,3.21875,3.5,0,50,10,500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,86,Watt Technovations,Ventilated PPE Kits,9,3.84375,3.625,1,0.00101,10,0.01,0.00101,4,0.03,0,1,0,1,1,1,1,0,1,0,1,0,1,1,4,0.0002525,1
27,87,Aliste Technologies,Automation Solutions,7,3.8125,3.5,0,60,5,1200,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,88,Insurance Samadhan,Insurance Solutions,2,3.59375,3.25,1,100,1,10000,100,4,2500,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,100,4
28,89,Humpy A2,Organic Milk Products,4,,,1,75,4,1875,100,15,666.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,33.33333333,5
28,90,Kunafa World,Kunafa,4,3.09375,3.40625,0,90,5,1800,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,5,3.5,3.34375,1,50,5,1000,50,30,166.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,16.66666667,10
29,92,Wakao Foods,Jackfruit Products,4,2.75,3,1,75,5,1500,75,21,357.14,0,1,0,1,1,1,1,0,0,0,1,1,0,1,3,25,7
29,93,PDD Falcon,Stainless Steel Items,1,,,0,75,3,2500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
29,94,PlayBox TV,Streaming Platform,2,3.59375,3.15625,0,100,3.5,2857.14,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,1,1,0,75,15,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,96,Kabaddi Adda,All-Kabaddi App,2,3.21875,3,1,80,1,8000,80,6,1333.33,1,1,1,1,1,0,0,0,0,0,1,1,0,0,2,40,3
30,97,Shades of Spring,Flowers,1,3.125,3.15625,0,300,1,30000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,98,Scholify,Scholarship Platform,3,4.03125,4,0,50,7.5,666.67,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,99,Scrapshala,Handmade Reusable Scrap Materials,1,3.84375,3.75,0,50,10,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,100,Sabjikothi,Vegetables Storage,4,3.46875,3.5,0,60,2.5,2400,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,101,AyuRythm,Ayurvedic Wellness App,9,3.25,3.53125,1,75,2,3750,75,2.68,2798.51,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,2.68
31,102,Astrix,Smart Locks,7,3.75,3.6875,0,75,3,2500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,103,Thea and Sid,Proposal Solutions,6,3.09375,3.28125,0,80,7,1142.86,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,104,Experential Etc,Technology layered Advertisement Services,2,3.59375,3.5,0,200,4,5000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,105,GrowFitter,Rewards App,3,3.625,3.65625,1,50,1,5000,50,2,2500,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,50,2
32,106,Med Tech,Portable opthalmic devices,9,3.8125,3.5625,0,35,6,583.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,107,Colour Me Mad,Insoles,8,3.71875,3.3125,1,40,10,400,40,25,160,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,40,25
33,108,Mavi's,Vegan Fermented Food,4,3,2.96875,0,40,5,800,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,109,Tweek Labs,Sportswear,8,3.875,3.53125,1,40,2,2000,60,10,600,1,1,1,1,0,1,0,1,1,0,0,0,1,0,3,20,3.333333333
33,110,Proxgy,VR,7,3.75,3.625,1,35,1,3500,10,10,100,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,5,5
34,111,Nomad Food Project,Bacon Jams,4,2.6875,2.65625,1,40,10,400,40,20,200,1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,10,5
34,112,Twee in One,Reversible and convertible clothing,8,3.34375,3.28125,0,30,7.5,400,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,113,Green Protein,Plant-Based Protein,4,3.78125,3.46875,0,60,2,3000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,114,On2Cook,Fastest Cooking Device,4,3.40625,3.09375,0,100,1,10000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,115,Jain Shikanji,Lemonade,4,3,3.59375,1,40,8,500,40,30,133.33,1,1,1,1,1,1,1,1,1,1,0,1,0,0,4,10,7.5
35,116,Woloo,Washroom Finder,7,3.90625,3.677419355,0,50,4,1250,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,117,Elcare India,Carenting for Elders,2,4.09375,3.875,0,100,2.5,4000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
